,,,,,,,,,,,,,,,,,,,,,
Dr Steven Buchanan,Senior Lecturer,,,,,,,,,,,,,,,,,,,,
Dr Anders Claesson,Senior Lecturer,,,,,,,,,,,,,,,,,,,,
Dr Alex Coddington,Lecturer,,,,,,,,,,,,,,,,,,,,
Prof Richard Connor,Professor,,,,,,,,,,,,,,,,,,,,
Dr Changyu Dong,Lecturer,,,,,,,,,,,,,,,,,,,,
Dr Mark Dukes,Senior Lecturer,,,,,,,,,,,,,,,,,,,,
Ross Duncan,Academic Staff,,,,,,,,,,,,,,,,,,,,
Dr Mark D Dunlop,Senior Lecturer,,,,,,,,,,,,,,,,,,,,
Prof Neil Ghani,Academic Staff,,,,,,,,,,,,,,,,,,,,
Dr Eva Hornecker,Lecturer,,,,,,,,,,,,,,,,,,,,
Sergey Kitaev,Reader,,,,,,,,,,,,,,,,,,,,
Dr Clemens Kupke,Lecturer,,,,,,,,,,,,,,,,,,,,
Dr Marilyn Lennon,Academic Staff,,,,,,,,,,,,,,,,,,,,
Dr John Levine,Senior Lecturer,,,,,,,,,,,,,,,,,,,,
Dr Conor McBride,Academic Staff,,,,,,,,,,,,,,,,,,,,
Dr Marc Roper,Reader,,,,,,,,,,,,,,,,,,,,
Ms Isla Ross,Lecturer,,,,,,,,,,,,,,,,,,,,
Dr Dmitri Roussinov,Senior Lecturer,,,,,,,,,,,,,,,,,,,,
Prof Ian Ruthven,Head of Department,,,,,,,,,,,,,,,,,,,,
Duncan Smeed,Lecturer,,,,,,,,,,,,,,,,,,,,
Prof Einar Steingrimsson,Professor,,,,,,,,,,,,,,,,,,,,
David McMenemy,Lecturer,,,,,,,,,,,,,,,,,,,,
Dr Sotirios Terzis,Lecturer,,,,,,,,,,,,,,,,,,,,
Dr George Weir,Lecturer,,,,,,,,,,,,,,,,,,,,
Dr John Wilson,Senior Lecturer,,,,,,,,,,,,,,,,,,,,
Dr Murray Wood,Senior Lecturer,,,,,,,,,,,,,,,,,,,,
